Carimbo de data/hora,Qual seu nível de conhecimento prévio sobre Terminal / CLI?,Até onde você foi no ShellBlocks?,Quão fácil foi entender a relação entre os blocos visuais e os comandos reais?,"Em que medida os blocos ajudaram você a entender a ESTRUTURA dos comandos (flags, argumentos, ordem)?",Avalie os seguintes aspectos da ferramenta: [Intuitividade da Interface],Avalie os seguintes aspectos da ferramenta: [Estabilidade Técnica (Bugs/Travamentos)],Avalie os seguintes aspectos da ferramenta: [Clareza das Missões (Textos)],Avalie os seguintes aspectos da ferramenta: [Feedback de Erro (Quando você erra)],Qual foi o conceito mais difícil de entender ou executar? (Marque todos que se aplicam),"Se você teve dificuldades ou travou, qual foi o maior culpado?","Em comparação com ler um tutorial em texto, você acha que o ShellBlocks foi:",Você encontrou algum bug específico? (Descreva brevemente),"Espaço livre para sugestões, críticas ou elogios:"
2025/12/19 20:00:00,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Zerei o jogo (Completei o Nível 19),4,5,Regular,Regular,Regular,Regular,Não tive dificuldades conceituais,Não tive dificuldades,Mais eficaz (aprendi mais rápido/melhor),,V bxhd
2025/12/19 20:40:52,Nível 0: Nunca digitei um comando na vida,"Parei na parte de texto e filtros (Níveis 6-9: grep, pipes)",3,4,Excelente,Bom,Excelente,Bom,"Filtros e Pipes (grep, |)",A lógica do Linux é muito complexa para mim,Mais eficaz (aprendi mais rápido/melhor),Mesmo com o bloco do CP ele apontava que o MV estava em uso sendo que não adicionei ele.,"Gostei bastante dessa nova experiência, espero poder estudar com mais calma sobre o assunto e desenvolver projetos."
2025/12/19 20:41:02,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Parei durante o Treinamento (Níveis 13-17: Missões compostas),5,5,Bom,Bom,Regular,Excelente,"Redirecionamento de saída (>), Multitarefa / Background (&)","Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),O operador & não funcionou no nível 13,Apresentar de forma mais intuitiva através da progressão de níveis os blocos e operadores que deverão ser utilizados e onde eles podem ser encontrados para que facilite a experiência do usuário.
2025/12/19 20:41:09,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Cheguei aos Desafios Finais (Níveis 18-19),4,4,Bom,Excelente,Bom,Regular,"Filtros e Pipes (grep, |), Redirecionamento de saída (>)",Não tive dificuldades,Mais eficaz (aprendi mais rápido/melhor),não encontrei,"Parabéns pelo trabalho,todo sucesso do mundo para você!"
2025/12/19 20:41:20,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Cheguei aos Desafios Finais (Níveis 18-19),5,5,Bom,Bom,Excelente,Bom,"Redirecionamento de saída (>), Multitarefa / Background (&)","Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),,"Muito bom projeto, a facilidade que os blocos proporcionam para aprender os comandos foi de grande ajuda. A localização dos blocos como o "">"" e ""&"" ficaram confusos para encontra-los e utilizar. "
2025/12/19 20:41:28,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto","Parei na parte de rede/processos (Níveis 10-12: ping, curl, ps)",5,5,Excelente,Bom,Excelente,Excelente,"Rede e Processos (ping, curl, ps), Multitarefa / Background (&)","Eu montava os blocos, mas o sistema dava erro (bug/validação chata)",Mais eficaz (aprendi mais rápido/melhor),A partir do nivel 10 esta acontecendo um bug de timeout,"Achei o shellblock uma aplicação muito fácil de ser utilizada. Bem intuitiva e explicativa. Nunca havia aprendido de fato dobre CLI, acredito que a ferramente da um certo apoio para facilitar a aprendizagem :)"
2025/12/19 20:41:55,"Intermediário: Entendo pipes (|), redirecionamento (>) e permissões",Parei durante o Treinamento (Níveis 13-17: Missões compostas),5,5,Excelente,Bom,Excelente,Regular,"Rede e Processos (ping, curl, ps), Multitarefa / Background (&)",A lógica do Linux é muito complexa para mim,Mais eficaz (aprendi mais rápido/melhor),,Poderia adicionar uma opção de bloqueio do scroll do mouse durante a execução dos desafios e dos estudos
2025/12/19 20:42:42,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Parei durante o Treinamento (Níveis 13-17: Missões compostas),5,5,Excelente,Bom,Excelente,Excelente,"Filtros e Pipes (grep, |), Rede e Processos (ping, curl, ps)","Eu montava os blocos, mas o sistema dava erro (bug/validação chata)",Mais eficaz (aprendi mais rápido/melhor),Não consegui passar da fase 13 por excessão de tempo de operação.,"Gostei muito da ferramenta e achei extremamente útil por conectar centralização de informações com prática, parabéns pelo projeto e por estar finalizando o curso!"
2025/12/19 20:42:48,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto","Parei na parte de texto e filtros (Níveis 6-9: grep, pipes)",3,3,Excelente,Regular,Regular,Bom,"Manipulação de arquivos (cp, mv, rm), Multitarefa / Background (&)","Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),Não encontrei nenhum bug.,"Acho que o bloco file target deveria ficar na parte de arquivos. A parte de fluxo ficou meio confusa, não achei que estava funcionando adequadamente. "
2025/12/19 20:43:11,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Parei durante o Treinamento (Níveis 13-17: Missões compostas),5,4,Bom,Bom,Bom,Ruim,"Manipulação de arquivos (cp, mv, rm), Redirecionamento de saída (>)","Eu sabia o que fazer, mas não achava os blocos certos",Igual,Bug do tempo em que o comando roda na questão 11,"Uma sugestão é a implementação de um mecanismo que facilite a indentificação de onde o usuario está errando, visto que apenas o retorno do console não deixa claro o suficiente"
2025/12/19 20:43:44,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Parei durante o Treinamento (Níveis 13-17: Missões compostas),3,3,Bom,Bom,Regular,Bom,Redirecionamento de saída (>),"Eu montava os blocos, mas o sistema dava erro (bug/validação chata)",Mais eficaz (aprendi mais rápido/melhor),Na questão 11 estava ocorrendo erro de TimeOut.,É interessante deixar os textos das questões mais claro.
2025/12/19 20:43:45,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Cheguei aos Desafios Finais (Níveis 18-19),2,3,Ruim,Excelente,Regular,Bom,Redirecionamento de saída (>),"Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),,"O Bloco fluxo não está organizado corretamente, todos os outros blocos ao clicar abre o menu, este porem tem comportamento diferente deixando a primeira vista redirect out e os demais"
2025/12/19 20:43:45,Nível 0: Nunca digitei um comando na vida,"Parei na parte de rede/processos (Níveis 10-12: ping, curl, ps)",5,5,Excelente,Bom,Regular,Excelente,Redirecionamento de saída (>),A lógica do Linux é muito complexa para mim,Mais eficaz (aprendi mais rápido/melhor),No nível 10 em diante tive dificuldades com o tempo de execução.,"o projeto é excelente, antes dessa experiencia bunca havia tido contato com linhas de código, quanto mais com o sistema Linux, e consegui desenvolver e entender o que foi proposto, Parabens pela ideia, acredito que quando 100% desenvolvida irá ser de grande valia."
2025/12/19 20:43:46,Nível 0: Nunca digitei um comando na vida,"Parei na parte de texto e filtros (Níveis 6-9: grep, pipes)",2,2,Regular,Ruim,Ruim,Regular,"Filtros e Pipes (grep, |), Redirecionamento de saída (>)",A missão não estava clara (não entendi o que fazer),Igual,,"A ideia é excelente e, com algumas adaptações pode se tornar ainda melhor. Eu não tenho nenhuma familiaridade tanto com linhas de código em terminal, quanto com o linux. Talvez esta ferramenta pudesse tentar ser um pouco mais facilitado para pessoas como eu. Eu não entendi muito o que fazer a partir do nível 8. "
2025/12/19 20:44:23,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Parei durante o Treinamento (Níveis 13-17: Missões compostas),3,3,Regular,Bom,Bom,Bom,Redirecionamento de saída (>),Não tive dificuldades,Mais eficaz (aprendi mais rápido/melhor),Não,"As instruções ficavam na parte superior ocupando praticamente metadade da tela, acho q ficaria melhor q elas ficassem do lado ou em baixo, pois foi meio chato desecndo e subindo a tela o tempo todo."
2025/12/19 20:44:30,Nível 0: Nunca digitei um comando na vida,Parei durante o Treinamento (Níveis 13-17: Missões compostas),4,5,Excelente,Bom,Regular,Bom,Redirecionamento de saída (>),"Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),"O meu não teve bugs, apenas dificuldade em identificar o comando "">""","Muito bom o método, apenas senti falta de clareza em algumas explicações, tive que procurar nas ferramentas meios de concluir a tarefa que não estavam explicitas no texto. Mas mesmo assim não tive muitas dificuldades no processo."
2025/12/19 20:44:54,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto",Cheguei aos Desafios Finais (Níveis 18-19),5,5,Bom,Excelente,Bom,Bom,"Filtros e Pipes (grep, |), Redirecionamento de saída (>)",Não tive dificuldades,Mais eficaz (aprendi mais rápido/melhor),Nenhum bug encontrado.,Habilitar scroll quando você já esta em scroll maximo dentro de um componente
2025/12/19 20:45:16,Nível 0: Nunca digitei um comando na vida,Parei durante o Treinamento (Níveis 13-17: Missões compostas),4,4,Bom,Excelente,Bom,Bom,Redirecionamento de saída (>),"Eu sabia o que fazer, mas não achava os blocos certos",Mais eficaz (aprendi mais rápido/melhor),,Uma sugestão seria implementar uma animação que interaja com o usuário à medida que ele se aproxime cada vez mais do objetivo.
2025/12/19 20:45:20,"Intermediário: Entendo pipes (|), redirecionamento (>) e permissões",Cheguei aos Desafios Finais (Níveis 18-19),5,4,Excelente,Bom,Bom,Bom,"Filtros e Pipes (grep, |), Rede e Processos (ping, curl, ps)",A lógica do Linux é muito complexa para mim,Mais eficaz (aprendi mais rápido/melhor),,"Sugestão: Disponibilizar os blocos da sessão de Fluxo de forma mais visível, para evitar confusões. Para trabalhos futuros adicionar mais comandos (ssh, wget...) e talvez exemplos de usos dos comandos, resoluções comentadas de cada nível ou algo assim. Elogios: Interface bonita a intuitiva, acesso fácil ao sistema, instruções completas e claras."
2025/12/19 20:45:23,"Iniciante: Sei o básico (ls, cd, mkdir), mas travo no resto","Parei na parte de rede/processos (Níveis 10-12: ping, curl, ps)",5,5,Bom,Excelente,Excelente,Excelente,Redirecionamento de saída (>),"Eu montava os blocos, mas o sistema dava erro (bug/validação chata)",Mais eficaz (aprendi mais rápido/melhor),"O comando ping tava dando erro de Timeout Exception nas fases 10 e 11 (na qual eu travei). A aba ""fluxo"", por ser um indicador de dropdown, me confundiu e eu não descobri que era uma aba a parte.",Excelente trabalho. Parabéns!
